titulo,autor,precio_liquidacion,precio_normal,estado,categoria,isbn,editorial,ano,coleccionable,url
,,3300,6500,new,,,,,,https://tuslibros.cl/libro/vero/kassel-no-invita-a-la-logica
,,3300,6500,fair,,,,,,https://tuslibros.cl/libro/vero/una-pequena-ciudad-de-alemania
,,3000,6000,new,,,,,,https://tuslibros.cl/libro/vero/la-falsa-pista
,,3000,6000,new,,,,,,https://tuslibros.cl/libro/vero/pequenas-criaturas
,,3000,6000,fair,,,,,,https://tuslibros.cl/libro/vero/bajo-las-ruedas
,,3000,6000,new,,,,,,https://tuslibros.cl/libro/vero/somos-polvo-de-estrellas
,,3000,6000,good,,,,,,https://tuslibros.cl/libro/vero/retratos-de-la-antiguedad-romana-y-la-primera-cristiandad
,,2800,5600,good,,,,,,https://tuslibros.cl/libro/vero/viajes-con-puff-22dc39
,,2500,5000,new,,,,,,https://tuslibros.cl/libro/vero/los-pajaros-de-bangkok
,,2500,5000,good,,,,,,https://tuslibros.cl/libro/vero/bajo-el-manto-de-urania
,,2000,4000,fair,,,,,,https://tuslibros.cl/libro/vero/la-deshumanizacion-del-arte-y-otros-ensayos-de-estetica
,,2000,4000,good,,,,,,https://tuslibros.cl/libro/vero/locos-egregios
,,2000,4000,good,,,,,,https://tuslibros.cl/libro/vero/el-caballero-de-la-armadura-oxidada-026bbd
,,2000,4000,fair,,,,,,https://tuslibros.cl/libro/vero/politica-y-desarrollo
,,1800,3500,good,,,,,,https://tuslibros.cl/libro/vero/el-equilibrio-de-la-balanza
,,1500,3000,good,,,,,,https://tuslibros.cl/libro/vero/maximas-y-aforismos
